OUR LADY OF FATIMA UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY OF REAGENTS/APPARATUS FOR S.Y. 2024-2025 1st SEMESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE OF PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALS (LIQUID REAGENTS),BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2nd 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
Benzaldehyde,1000,ml,0,1000,250,750,ml,0,750,250,500,ml,400,ml,500,ml,2-Sep,SI 377,900,0,ml,500,500,ml,2/6/2023,899,100,400,ml,,0,ml,0,ml,,,200,200,ml,0,0,ml,,,800,1000,ml,0,0,ml,,,0,1000,ml ,0,ml 
Benzene,4000,ml,0,4000,0,4000,ml,500,4500,500,4000,ml,0,ml,,,,,0,0,ml,5000,0,ml,,,0,0,ml,undelivered,2500,ml,0,ml,,,0,0,ml,1000,0,ml,,,0,0,ml,1000,1000,ml,10/15/2024 ;11/19/2024,DR:3452 SI:5482,1000,0,ml ,1000,ml 
Benzoyl Chloride,30,ml,0,30,30,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,0,0,ml,,,0,0,ml,out of stock,500,ml,1000,ml,10/18/2023,DR: 2754,100,900,ml,1000,0,ml,,,0,0,ml,0,0,ml,,0,0,0,ml ,500,ml 
Benzyl alcohol,1900,ml,0,1900,650,1250,ml,0,1250,50,1200,ml,1000,ml,1000,ml,2-Sep,SI 377,0,1000,ml,0,0,ml,,,150,850,ml,,0,ml,0,ml,,,350,500,ml,0,0,ml,,,0,500,ml,0,0,ml,,,500,0,ml ,500,ml 
Benzyl benzoate,1500,ml,0,1500,600,900,ml,500,1400,900,500,ml,500,ml,,,,,50,450,ml,0,0,ml,,,50,400,ml,,0,ml,0,ml,,,400,0,ml,0,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml ,0,ml 
Benzyl chloride,0,ml,0,0,0,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,1000,0,ml,,,0,0,ml,undelivered,1000,ml,0,ml,,,0,900,ml,1000,0,ml,,,0,0,ml,1000,500,ml,6/18/2024,SI:22947,0,500,ml ,0,ml 
Bial's reagent,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,1000,1000,ml,2/6/2023,899,1000,0,ml,,1000,ml,100,ml,8/30/2023,DR: 2479,0,100,ml,500,0,ml,,,0,100,ml,0,0,ml,,,100,0,ml ,1000,ml 
Biuret,0,ml,0,0,0,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,1000,1000,ml,2/6/2023,899,200,800,ml,,0,ml,0,ml,,,800,0,ml,500,500,ml,1/12/2024,DR:2119SI:2005,0,500,ml,0,0,ml,,,0,500,ml ,0,ml 
Bromine water ,750,ml,1000,1750,500,1250,ml,0,1250,250,1000,ml,1000,ml,500,ml,10/17/2022,SI 20538,500,500,ml,500,500,ml,2/6/2023,898,200,800,ml,,1000,ml,1000,ml,8/30/2023,DR: 2479,600,200,ml,1500,500,ml,2/29/2024,DR:2113,200,500,ml,1000,1000,ml,5/31/2024,DR:25153,0,1000,ml ,0,ml 
Bromothymol blue,700,ml,0,700,700,0,ml,0,0,0,0,ml,900,ml,,,,,0,900,ml,0,0,ml,,,100,800,ml,,0,ml,0,ml,,,100,700,ml,0,0,ml,,,100,600,ml,0,0,ml,,,500,100,ml ,0,ml 
Buffer solution(pH4),1000,ml,0,1000,0,1000,ml,0,1000,1000,0,ml,1000,ml,1000,ml,2-Sep,SI 375,0,1000,ml,0,0,ml,,,0,1000,ml,,0,ml,0,ml,,,200,800,ml,0,0,ml,,,100,700,ml,0,0,ml,,,,700,ml ,0,ml 
Buffer solution(pH7),1000,ml,0,1000,0,1000,ml,0,1000,1000,0,ml,1000,ml,,,,,0,1000,ml,0,0,ml,,,1000,0,ml,,1000,ml,1000,ml,10/18/2023,DR: 2754,0,1000,ml,0,0,ml,,,100,900,ml,0,0,ml,,,100,800,ml ,0,ml 
Butanol,3000,ml,0,3000,0,3000,ml,0,3000,0,3000,ml,500,ml,,,,,500,0,ml,1000,1000,ml,2/6/2023,899,250,750,ml,,0,ml,0,ml,,,250,500,ml,0,0,ml,,,500,1000,ml,0,0,ml,,,0,1000,ml ,0,ml 
Butylamine,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,500,0,ml,,,0,0,ml,undelivered,500,ml,0,ml,,,0,0,ml,500,0,ml,,,0,0,ml,500,500,ml,11/21/2024,DR: 3463/ SI: 5485,0,500,ml ,0,ml 
Cocamidropropyl Betaine,,,,,,,,,,,,,,,,,,,,0,ml,0,0,ml,,,0,1000,ml,,0,ml,0,ml,,,300,700,ml,0,0,ml,,,400,300,ml,0,0,ml,,,300,0,ml ,1000,ml 
Coco Betaine,,,,,,,,,,,,,,,,,,,,0,ml,0,1000,ml,2/6/23,900,0,1000,ml,,0,ml,0,ml,,,200,800,ml,0,0,ml,,,0,800,ml,0,0,ml,,,0,800,ml ,0,ml 
Calcium hypochlorite,0,ml,0,0,0,0,ml,500,500,0,500,ml,1000,ml,,,,,50,950,ml,0,0,ml,,,500,450,ml,,1000,ml,1000,ml,8/30/2023,DR: 2479,450,1000,ml,0,0,ml,,,200,1200,ml,0,0,ml,,,0,1200,ml ,0,ml 
Carbon disulfide,1400,ml,0,1400,1250,150,ml,0,150,150,0,ml,300,ml,,,,,300,0,ml,500,0,ml,,,0,0,ml,undelivered,500,ml,0,ml,,,0,0,ml,500,300,ml,2/29/2024,DR:3000,0,300,ml,0,0,ml,,,300,0,ml ,500,ml 
CHEMICALS,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
Carbon tetrachloride,1800,ml,500,2300,2300,0,ml,2000,2000,200,1800,ml,0,ml,,,,,0,0,ml,2500,0,ml,,,0,0,ml,undelivered,1000,ml,0,ml,,,0,0,ml,2500,0,ml,,,0,0,ml,2500,0,ml,,,0,0,ml,1000,ml 
Carminic acid,500,ml,0,500,0,500,ml,0,500,500,0,ml,0,ml,,,,,0,0,ml,0,0,ml,,,0,0,ml,,0,ml,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,0,ml 
Castor oil,3200,ml,0,3200,0,3200,ml,0,3200,300,2900,ml,0,ml,1000,ml,10/17/2022,SI 20538,1000,0,ml,1000,1000,ml,2/6/23 - 05/08/23,898 /1198,0,1000,ml,,0,ml,0,ml,,,300,700,ml,0,0,ml,,,1200,1900,ml,0,0,ml,,,200,1700,ml,0,ml 
Cedarwood oil,250,ml,0,250,0,250,ml,0,250,0,250,ml,0,ml,1000,ml,10/17/2022,SI 20538,0,1000,ml,250,100,ml,05/08/23,1198,200,900,ml,,0,ml,0,ml,,,0,900,ml,0,0,ml,,,0,900,ml,0,0,ml,,,0,900,ml,0,ml 
Crystal Violet,1650,ml,0,1650,50,1600,ml,500,2100,600,1500,ml,200,ml,,,,,200,0,ml,500,1500,ml,2/6/23 -2/17/23,899 / 157484,250,1250,ml,,0,ml,0,ml,,,350,900,ml,0,0,ml,,,500,1400,ml,0,0,ml,,,100,1300,ml,0,ml 
Chlorine water,1500,ml,0,1500,500,1000,ml,0,1000,200,800,ml,0,ml,,,,,0,0,ml,0,0,ml,,,0,0,ml,,0,ml,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,500,ml 
Chloroform,4100,ml,8000,12100,8600,3500,ml,2000,5500,2500,3000,ml,1300,ml,,,,,1300,0,ml,3000,0,ml,,,0,0,ml,undelivered,2500,ml,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,3000,0,ml,,,0,0,ml,1000,ml 
Chromic acid,2000,ml,0,2000,2000,0,ml,0,0,0,0,ml,1250,ml,,,,,0,1250,ml,0,0,ml,,,250,1000,ml,,0,ml,0,ml,,,200,800,ml,0,0,ml,,,1600,0,ml,0,0,ml,,,0,0,ml,1000,ml 
Cinnamon oil,2200,ml,0,2200,100,2100,ml,0,2100,200,1900,ml,950,ml,,,,,950,0,ml,1000,1000,ml,3/2/2023,997,150,850,ml,,0,ml,0,ml,,,350,500,ml,0,0,ml,,,0,0,ml,0,0,ml,,,0,800,ml,0,ml 
Clove oil,2000,ml,0,2000,250,1750,ml,0,1750,0,1750,ml,150,ml,,,,,150,0,ml,1000,1000,ml,2/6/2023,899,100,900,ml,,0,ml,0,ml,,,900,0,ml,500,500,ml,1/9/2024,DR:2113,0,500,ml,0,0,ml,,,0,500,ml,0,ml 
Coconut oil,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,2000,2000,ml,1/30/23-2/6/23,71443/899,1200,800,ml,,0,ml,0,ml,,,800,0,ml,1000,0,ml,,,0,0,ml,1000,1000,ml,5/31/2024,DR: 25153,1000,0,ml,1000,ml 
Coconut diethanol amide,3500,ml,0,3500,900,2600,ml,0,2600,0,2600,ml,0,ml,,,,,0,0,ml,1000,1000,ml,1/30/23-2/6/23,71443/899,900,100,ml,,0,ml,0,ml,,,100,0,ml,500,500,ml,2/29/2024,DR:2119/SI:2005,0,500,ml,1000,1000,ml,10/15/2024;11/19/2024,DR: 3452/SI:5482,1000,0,ml,1000,ml 
Cod liver oil,3000,ml,0,3000,500,2500,ml,0,2500,0,2500,ml,1000,ml,,,,,0,1000,ml,0,0,ml,,,100,900,ml,,0,ml,0,ml,,,300,600,ml,0,0,ml,,,1800,2400,ml,0,0,ml,,,0,2400,ml,0,ml 
Corn oil,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,1000,1000,ml,1/30/23-2/6/23,71443/899,150,850,ml,,0,ml,0,ml,,,150,700,ml,0,0,ml,,,0,700,ml,0,0,ml,,,,700,ml,0,ml 
Cotton seed oil,0,ml,0,0,0,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,1000,100,ml,05/08/23,1198,0,100,ml,,0,ml,0,ml,,,100,0,ml,500,500,ml,1/12/2024,DR:2119/SI:2005,100,400,ml,0,0,ml,,,0,400,ml,0,ml 
Cyclohexane ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ml,500,0,ml,,,0,0,ml,500,1000,ml,6/4/2024,DR: 25172,0,1000,ml,0,ml 
Cyclohexanone,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,500,0,ml,,,0,0,ml,,500,ml,500,ml,8/30/2023,DR: 2480,500,0,ml,500,0,ml,,,0,300,ml,500,500,ml,11/21/2024,DR: 3463/SI: 5485,300,200,ml,0,ml 
Denige's reagent,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,500,500,ml,1/30/23-2/6/23,71443/899,250,250,ml,undelivered,500,ml,0,ml,,,250,0,ml,500,500,ml,1/12/2024,DR:2119/SI:2005,0,500,ml,0,0,ml,,,0,500,ml,0,ml 
Dragendorff`s ,1500,ml,0,1500,200,1300,ml,1000,2300,1300,1000,ml,900,ml,,,,,0,900,ml,0,0,ml,,,900,0,ml,undelivered,500,ml,0,ml,,,0,0,ml,500,0,ml,,,0,0,ml,100,0,ml,,,0,0,ml,500,ml 
