OUR LADY OF FATIMA UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY OF REAGENTS/APPARATUS FOR S.Y. 2024-2025 1st SEMESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE OF PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALS (LIQUID REAGENTS),BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2nd 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
Fehlings A,500,ml,1000,1500,500,1000,ml,3000,4000,1000,3000,ml,3000,ml,,,,,400,2600,ml,0,0,ml,,,2600,0,ml,,1000,ml,1000,ml,8/30/2023,DR: 2480,200,800,ml,0,0,ml,,,600,200,ml,0,0,ml,,,200,0,ml,1000,ml 
Fehlings B,500,ml,1000,1500,500,1000,ml,3000,4000,1000,3000,ml,2800,ml,,,,,0,2800,ml,0,0,ml,,,1400,1400,ml,,0,ml,0,ml,,,100,1300,ml,0,0,ml,,,0,0,ml,1000,1000,ml,6/4/2024,DR:25172,0,1000,ml,0,ml 
Formaldehyde,1400,ml,0,1400,900,500,ml,500,1000,500,500,ml,1330,ml,,,,,1300,30,ml,1000,0,ml,,,30,0,ml,,500,ml,500,ml,8/30/2023,DR: 2480,500,0,ml,0,0,ml,,,0,1000,ml,0,0,ml,,,0,1000,ml,0,ml 
Formic acid,5000,ml,0,5000,0,5000,ml,0,5000,4000,1000,ml,1500,ml,,,,,500,1000,ml,0,0,ml,,,100,900,ml,,0,ml,0,ml,,,100,800,ml,0,0,ml,,,0,800,ml,0,0,ml,,,0,800,ml,0,ml 
CHEMICALS,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of  July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
Grams Iodine,700,ml,500,1200,700,500,ml,500,1000,500,500,ml,650,ml,,,,,150,500,ml,0,0,ml,,,0,500,ml,,1000,ml,1000,ml,9/20/2023,DR: 2643,700,800,ml,0,0,ml,,,100,700,ml,0,0,ml,,,200,500,ml,0,ml 
Glacial acetic,7500,ml,0,7500,3000,4500,ml,0,4500,600,3900,ml,2500,ml,,,,,2500,0,ml,1000,1000,ml,1/30/23-2/17/23,71443/157484,500,500,ml,,0,ml,0,ml,,,100,400,ml,0,0,ml,,,1600,2000,ml,0,0,ml,,,0,2000,ml,0,ml 
"Glycerine, pure",1000,ml,3000,4000,2000,2000,ml,5000,7000,2000,5000,ml,1200,ml,5000,ml,10/17/2022,SI 20538,2000,4200,ml,0,0,ml,,,600,3600,ml,,2000,ml,2000,ml,8/30/2023,DR: 2481,5600,0,ml,3,3,ml,1/12/2024,DI:2114/ SI:2006,1000,2000,ml,0,0,ml,,,2000,0,ml,1000,ml 
Guiac solution,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,250,250,ml,1/30/23-02/06/23,71443/898,100,150,ml,,0,ml,0,ml,,,150,0,ml,500,500,ml,1/12/2024,DI:2114/ SI:2006,0,500,ml,0,0,ml,,,0,500,ml,0,ml 
Hexane,4000,ml,2500,6500,0,6500,ml,2500,9000,4500,4500,ml,0,ml,,,,,0,0,ml,2500,2500,ml,1/30/23-2/6/23,71443/899,800,1700,ml,,0,ml,0,ml,,,700,1000,ml,0,0,ml,,,100,900,ml,4000,4000,L,7/16/2024,SI: 23073,4000,0,L,0,L
Hopkin's cole reagent,500,ml,0,500,0,500,ml,500,1000,500,500,ml,500,ml,,,,,500,0,ml,500,500,ml,2/6/23,903,250,250,ml,,500,ml,500,ml,8/30/2023,DR: 2481,250,500,ml,500,500,ml,2/14/2024,SI:4768,500,500,ml,0,0,ml,,,500,0,ml,0,ml 
Hydrochloric acid,3500,ml,2500,6000,800,5200,ml,2500,7700,700,7000,ml,4500,ml,2000,ml,10/17/2022,SI 20538,2500,4000,ml,0,0,ml,,,1500,2500,ml,,2000,ml,1000,ml,8/30/2023,DR: 2481,2500,0,ml,3,3,ml,1/12/2024,SI:2006,0,1300,ml,0,0,L,,,1300,0,ml,2.5,L
Hydrogen peroxide,3000,ml,0,3000,0,3000,ml,0,3000,1000,2000,ml,2000,ml,,,,,300,1700,ml,0,0,ml,,,500,1200,ml,,0,ml,0,ml,,,300,900,ml,0,0,ml,,,400,500,ml,0,0,ml,,,500,0,ml,1000,ml 
Iodobromide ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ml,1000,1000,ml,6/4/2024,DR:25172,1000,0,ml,1000,ml 
Jojoba oil,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,500,0,ml,,,0,0,ml,,0,ml,0,ml,,,0,0,ml,500,0,ml,,,0,0,ml,500,0,ml,,,0,0,ml,500,ml 
Lactic acid,2100,ml,0,2100,0,2100,ml,0,2100,0,2100,ml,2100,ml,,,,,0,2100,ml,0,0,ml,,,400,1700,ml,,0,ml,0,ml,,,400,1300,ml,0,0,ml,,,100,1200,ml,0,0,ml,,,0,1200,ml,0,ml 
Lactophenol Cotton blue,1000,ml,0,1000,0,1000,ml,0,1000,0,1000,ml,950,ml,,,,,0,950,ml,0,0,ml,,,0,950,ml,,0,ml,0,ml,,,0,950,ml,0,0,ml,,,50,900,ml,0,0,ml,,,0,900,ml,0,ml 
Lavender oil,1000,ml,0,1000,250,750,ml,0,750,50,700,ml,700,ml,,,,,700,0,ml,500,500,ml,2/6/23,903,0,500,ml,,0,ml,0,ml,,,100,400,ml,0,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,500,ml 
Lemon oil,1500,ml,0,1500,0,1500,ml,0,1500,500,1000,ml,600,ml,,,,,600,0,ml,1000,1000,ml,2/6/23,903,600,400,ml,,0,ml,0,ml,,,200,200,ml,0,0,ml,,,50,150,ml,0,0,ml,,,150,0,ml,500,ml 
Linseed oil ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,ml,500,1000,ml,5/31/2024,DR: 25151,0,1000,ml,0,ml 
Lime water,2000,ml,0,2000,1000,1000,ml,0,1000,0,1000,ml,1000,ml,,,,,1000,0,ml,1000,1000,ml,2/6/23,903,300,700,ml,,0,ml,0,ml,,,200,500,ml,0,0,ml,,,400,900,ml,0,0,ml,,,0,900,ml,0,ml 
Liquid Castile Soap,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,1000,0,ml,,,0,0,ml,,0,ml,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,500,500,ml,10/29/2024 - 11/21/2024,DR:l 3463 / SI: 5485,500,0,ml,500,ml 
Lucas reagent,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,1000,1000,ml,2/6/23,903,400,600,ml,,0,ml,0,ml,,,200,400,ml,0,0,ml,,,100,300,ml,0,0,ml,,,300,0,ml,500,ml 
Malachite  green,1500,ml,0,1500,150,1350,ml,0,1350,250,1100,ml,2950,ml,,,,,950,2000,ml,0,0,ml,,,100,1900,ml,,0,ml,0,ml,,,1000,900,ml,0,0,ml,,,0,900,ml,0,0,ml,,,100,800,ml,0,ml 
Mayer's Reagent,100,ml,0,100,100,0,ml,0,0,0,0,ml,400,ml,,,,,400,0,ml,500,500,ml,2/6/23,903,300,200,ml,,500,ml,500,ml,8/30/2023,DR: 2481,100,600,ml,0,0,ml,,,100,500,ml,0,0,ml,,,500,0,ml,500,ml 
MC Farland Reagent,,,,,,,,,,,,,,,,,,,,0,ml,0,0,ml,,,0,500,ml,,0,ml,0,ml,,,500,0,ml,0,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,0,ml 
Methanol,3,gal,1,4,1,3,gal,2,5,3,2,gal,0,gal,,,,,0,0,gal,3,6,gal,2/6/23 2/17/23,902 /157484,1,5,gal,,0,gal,0,gal,,,1,4,gal,0,0,gal,,,1,3,gal,0,0,gal,,,2,1,ml,0,gal
Metahnol HPLC grade,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,3000,4000,ml,4/12/23,1125,0,4000,ml,,0,ml,0,ml,,,4000,0,ml,4000,4000,ml,1/12/2024,SI:2006,0,1500,ml,0,0,ml,,,1500,0,L,2,L
Methyl salicylate,3000,ml,0,3000,1000,2000,ml,0,2000,1000,1000,ml,1450,ml,,,,,0,1450,ml,0,0,ml,,,250,1200,ml,,0,ml,0,ml,,,200,1000,ml,0,,ml,,,200,800,ml,0,0,ml,,,200,600,ml,0,ml 
Mineral oil,3000,ml,2000,5000,1000,4000,ml,3000,7000,1000,6000,ml,5500,ml,,,9/2/2022,SI 377,500,5000,ml,0,0,ml,,,3000,2000,ml,,4000,ml,4000,ml,8/30/2023,DR: 2481,6000,0,ml,3000,4000,ml,1/9/24-02/14/2024,DR:2113 SI:4768,0,5000,ml,0,0,ml,,,1000,4000,ml,0,ml 
Millon's Reagent,0,ml,0,0,0,0,ml,0,0,0,0,ml,3500,ml,,,,,0,3500,ml,0,0,ml,,,3200,300,ml,,500,ml,500,ml,8/30/2023,DR: 2481,800,0,ml,500,500,ml,2/14/2024,SI:4768,100,400,ml,0,0,ml,,,0,400,ml,0,ml 
Molisch reagent,0,ml,0,0,0,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,1000,1000,ml,2/6/23,903,200,800,ml,,0,ml,0,ml,,,800,0,ml,500,500,ml,1/9/2024,DR:2113,0,500,ml,0,0,ml,,,100,400,ml,500,ml 
N-butyl alcohol,0,ml,0,0,0,0,ml,0,0,0,0,ml,1500,ml,,,,,500,1000,ml,0,0,ml,,,350,650,ml,,0,ml,0,ml,,,0,650,ml,0,0,ml,,,50,600,ml,0,0,ml,,,0,600,ml,0,ml 
Nessler's reagent,0,ml,0,0,0,0,ml,500,500,0,500,ml,1350,ml,,,,,0,1350,ml,0,0,ml,,,850,500,ml,,0,ml,0,ml,,,500,0,ml,500,500,ml,1/9/2024,DR:2113,0,300,ml,0,0,ml,,,300,0,ml,500,ml 
Nitric acid,1500,ml,3000,4500,3500,1000,ml,1000,2000,2000,0,ml,0,ml,,,,,0,0,ml,2500,0,ml,,,0,0,ml,undelivered,2500,ml,0,ml,,,0,0,ml,0,0,ml,,,400,0,L,3,0,L,,,0,0,L,3,L
Ninhydrin,250,ml,0,250,0,250,ml,0,250,250,0,ml,400,ml,,,,,400,0,ml,500,500,ml,2/6/23,903,0,500,ml,,0,ml,0,ml,,,500,0,ml,500,500,ml,1/9/2024,DR:2113,0,500,ml,0,0,ml,,,500,0,ml,500,ml 
N-propyl alcohol,1000,ml,0,1000,0,1000,ml,0,1000,500,500,ml,500,ml,,,,,0,500,ml,0,0,ml,,,0,500,ml,,0,ml,0,ml,,,0,500,ml,0,0,ml,,,100,600,ml,0,0,ml,,,100,500,ml,0,ml 
Octanol,,,,,,,,,,,,,,,,,,,,0,ml,0,0,ml,,,0,400,ml,,0,ml,0,ml,,,0,400,ml,0,0,ml,,,0,400,ml,0,0,ml,,,100,400,ml,0,ml 
Octyl alcohol,1000,ml,0,1000,0,1000,ml,0,1000,0,1000,ml,500,ml,,,,,500,0,ml,1000,1000,ml,05/18/23,2223,0,1000,ml,,0,ml,0,ml,,,200,800,ml,0,0,ml,,,100,700,ml,0,0,ml,,,700,0,ml,1000,ml 
Oleic acid,500,ml,0,500,0,500,ml,0,500,500,0,ml,0,ml,,,,,0,0,ml,1000,2000,ml,2/6/23 - 05/08/23,902/1198,200,1800,ml,,0,ml,0,ml,,,400,1400,ml,0,0,ml,,,0,1400,ml,0,0,ml,,,0,1400,ml,0,ml 
CHEMICALS,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
Olive oil,1500,ml,0,1500,250,1250,ml,0,1250,0,1250,ml,150,ml,,,,,150,0,ml,2000,2000,ml,2/6/23,903,1200,800,ml,,1000,ml,1000,ml,9/20/2023,DR: 2643,1300,500,ml,0,0,ml,,,0,0,ml,1000,1000,ml,05/31/2024 / 07/16/2024,DR:25215 / SI: 23073 ,100,900,ml,0,ml 
Orange oil,100,ml,0,100,0,100,ml,0,100,0,100,ml,500,ml,,,,,0,500,ml,0,0,ml,,,500,0,ml,,0,ml,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,500,500,ml,5/31/2024,DR:25151,0,500,ml,0,ml 
Palm oil ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,ml,500,500,ml,5/31/2024,DR:25151,0,500,ml,0,ml 
Palmitic oil,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,1000,0,ml,,,0,0,ml,,0,ml,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,500,0,ml,,,0,0,ml,500,ml 
Peppermint oil,1000,ml,500,1500,0,1500,ml,500,2000,100,1900,ml,2100,ml,,,,,2100,0,ml,1000,1000,ml,2/6/23,903,0,1000,ml,,0,ml,0,ml,,,1000,0,ml,1000,1000,ml,1/12/2024,DR:3150,0,1200,ml,0,0,ml,,,200,1000,ml,0,ml 
Petroleum ether,8000,ml,6000,14000,4500,9500,ml,2000,11500,2500,9000,ml,0,ml,,,,,0,0,ml,2500,2500,ml,2/6/23,903,2500,0,ml,,4000,ml,4000,ml,9/20/2023,DR: 2643,2000,2000,ml,0,0,ml,,,1100,0,ml,1000,1000,ml,5/31/2024,DR:25151,1000,0,ml,1000,ml 
Phenol,6000,ml,0,6000,2500,3500,ml,0,3500,1000,2500,ml,2000,ml,1000,ml,2-Sep,SI 377,2500,500,ml,1000,1000,ml,2/6/23,903,500,1000,ml,,0,ml,0,ml,,,1000,0,ml,100,500,ml,1/12/2024,DR:3150,0,1300,ml,1000,0,ml,,,0,1300,ml,0,ml 
Phosporic acid,800,ml,0,800,0,800,ml,0,800,100,700,ml,800,ml,,,,,0,800,ml,0,0,ml,,,300,500,ml,,0,ml,0,ml,,,300,200,ml,0,0,ml,,,0,200,ml,0,0,ml,,,200,0,ml,500,ml 
Polyethylene glycol,2800,ml,0,2800,500,2300,ml,0,2300,1300,1000,ml,0,ml,,,,,0,0,ml,500,1500,ml,2/6/23 - 05/08/23,902/1198,300,1200,ml,,0,ml,0,ml,,,200,1000,ml,0,0,ml,,,400,1400,ml,0,0,ml,,,400,1000,ml,0,ml 
Potassium stannite,900,ml,0,900,0,900,ml,0,900,400,500,ml,150,ml,,,,,0,150,ml,0,0,ml,,,150,0,ml,undelivered,1000,ml,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,0,0,ml,,,0,0,ml,0,ml 
Propandiol,400,ml,0,400,0,400,ml,0,400,400,0,ml,900,ml,,,,,0,900,ml,0,0,ml,,,100,800,ml,,0,ml,0,ml,,,0,800,ml,0,0,ml,,,0,800,ml,0,0,ml,,,0,800,ml,0,ml 
Propanol,200,ml,0,200,0,200,ml,0,200,0,200,ml,400,ml,,,,,200,200,ml,0,0,ml,,,0,200,ml,,500,ml,500,ml,8/30/2023,DR: 2481,600,100,ml,0,0,ml,,,0,100,ml,0,0,ml,,,100,0,ml,0,ml 
Propionic acid,1250,ml,0,1250,0,1250,ml,0,1250,0,1250,ml,950,ml,,,,,0,950,ml,0,0,ml,,,450,500,ml,,0,ml,0,ml,,,0,500,ml,0,0,ml,,,700,1200,ml,0,0,ml,,,0,1200,ml,0,ml 
Propylene glycol,1500,ml,500,2000,200,1800,ml,500,2300,800,1500,ml,650,ml,,,,,650,0,ml,250,500,ml,2/6/23,902,200,300,ml,,0,ml,0,ml,,,0,300,ml,0,0,ml,,,700,1000,ml,0,0,ml,,,0,1000,ml,0,ml 
Pyridine,2000,ml,0,2000,100,1900,ml,0,1900,400,1500,ml,500,ml,,,,,-500,1000,ml,0,0,ml,,,100,900,ml,,0,ml,0,ml,,,0,900,ml,0,0,ml,,,100,800,ml,0,0,ml,,,0,800,ml,0,ml 
P-Nitrobenzene Azoresorcinol,,,,,,,,,,,,,,,,,,,,0,ml,0,0,ml,,,400,600,ml,,0,ml,0,ml,,,100,500,ml,0,0,ml,,,0,500,ml,0,0,ml,,,0,500,ml,0,ml 
Rosemary oil,800,ml,0,800,0,800,ml,0,800,0,800,ml,600,ml,,,,,600,0,ml,500,500,ml,2/6/23,903,0,500,ml,,500,ml,500,ml,10/9/2023,DR: 2721,400,600,ml,0,0,ml,,,100,500,ml,0,0,ml,,,500,0,ml,500,ml 
Schiff's Reagent,3000,ml,0,3000,2000,1000,ml,0,1000,0,1000,ml,3400,ml,,,,,1900,1500,ml,0,0,ml,,,500,1000,ml,,0,ml,0,ml,,,0,1000,ml,0,0,ml,,,0,1000,ml,0,0,ml,,,200,800,ml,0,ml 
Safranin,600,ml,500,1100,100,1000,ml,500,1500,500,1000,ml,200,ml,,,,,0,200,ml,0,0,ml,,,100,100,ml,,500,ml,500,ml,10/9/2023,DR: 2721,100,500,ml,0,0,ml,,,0,500,ml,0,0,ml,,,200,300,ml,0,ml 
Sec-butyl alcohol,300,ml,500,800,500,300,ml,0,300,0,300,ml,0,ml,,,,,0,0,ml,1000,2000,ml,2/6/2023-6/20/23,902/2252,200,1800,ml,,0,ml,0,ml,,,600,1200,ml,0,0,ml,,,200,1100,ml,0,0,ml,,,100,1000,ml,0,ml 
Sodium hypochlorite,2000,ml,0,2000,150,1850,ml,1000,2850,350,2500,ml,1000,ml,,,,,1000,0,ml,1000,2000,ml,2/6/23 -05/08/23,902 /1198,500,1500,ml,,0,ml,0,ml,,,500,1000,ml,0,0,ml,,,500,500,ml,1000,1000,ml,7/9/2024,DR:2518,0,1500,ml,0,ml 
Sulfuric acid,1500,ml,1000,2500,3000,5500,ml,0,5500,0,5500,ml,150,ml,,,,,150,0,ml,2500,4000,ml,2/6/23 -05/08/23,902 /1198,1400,2600,ml,,2500,ml,2500,ml,10/18/2023,DR: 003895,1500,3600,ml,0,0,ml,,,600,3000,ml,0,0,ml,,,1000,2000,ml,0,ml 
Tert-butyl alcohol,500,ml,0,500,100,400,ml,0,400,0,400,ml,0,ml,250,ml,2-Sep,SI 377,0,0,ml,1000,1000,ml,2/6/23,902,200,800,ml,,0,ml,0,ml,,,0,800,ml,0,0,ml,,,400,1200,ml,0,0,ml,,,0,1200,ml,0,ml 
Tributylamine,,,,,,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,500,0,ml,,,0,0,ml,undelivered,500,ml,0,ml,,,0,0,ml,500,0,ml,,,0,0,ml,500,0,ml,,,0,0,ml,500,ml 
Tollen's Reagent,1000,ml,0,1000,600,400,ml,0,400,100,300,ml,0,ml,250,ml,2-Sep,SI 377,0,0,ml,1000,2000,ml,2/6/23 - 4/3/23,901 /2172,700,1300,ml,,0,ml,0,ml,,,200,1100,ml,0,0,ml,,,500,600,ml,0,0,ml,,,600,0,ml,1000,ml 
Toluene,2000,ml,0,2000,0,2000,ml,0,2000,0,2000,ml,0,ml,,,,,0,0,ml,500,0,ml,,,0,0,ml,undelivered,500,ml,0,ml,,,0,0,ml,0,0,ml,,,0,2500,ml,0,0,ml,,,0,2500,ml,0,ml 
Triethanolamine,1000,ml,0,1000,0,1000,ml,0,1000,0,1000,ml,1000,ml,,,,,1000,0,ml,1000,2000,ml,2/6/23 - 05/08/23,900 /1198,400,1600,ml,,0,ml,0,ml,,,1100,500,ml,1000,1000,ml,1/12/2024,SI:2115,1500,2000,ml,0,0,ml,,,100,1900,ml,0,ml 
Turpentine oil,7000,ml,0,7000,1000,6000,ml,0,6000,0,6000,ml,5300,ml,,,,,300,5000,ml,0,0,ml,,,700,4300,ml,,0,ml,0,ml,,,300,4000,ml,0,0,ml,,,500,3500,ml,0,0,ml,,,0,3500,ml,0,ml 
Tween 80,2000,ml,0,2000,0,2000,ml,0,2000,1000,1000,ml,1800,ml,1000,ml,2-Sep,SI 377,1000,800,ml,0,0,ml,,,100,700,ml,,0,ml,0,ml,,,200,500,ml,0,0,ml,,,600,1100,ml,0,0,ml,,,100,1000,ml,0,ml 
Vanillin,500,ml,0,500,0,500,ml,0,500,20,480,ml,50,ml,,,,,50,0,ml,500,1500,ml,2/6/23 -05/08/23,901/1198,0,1500,ml,,0,ml,0,ml,,,500,1000,ml,0,0,ml,,,100,900,ml,0,0,ml,,,100,800,ml,0,ml 
Wagner's,0,ml,0,0,0,0,ml,0,0,0,0,ml,0,ml,,,,,0,0,ml,500,1500,ml,2/6/23 -05/08/23,901/1198,300,1200,ml,,0,ml,0,ml,,,0,1200,ml,0,0,ml,,,300,900,ml,0,0,ml,,,0,900,ml,0,ml 
Water HPLC grade,0,ml,0,0,0,0,ml,0,0,0,0,gal,0,gal,,,,,0,0,ml,2,0,ml,,,0,5000,ml,undelivered,2500,ml,0,ml,,,5000,0,ml,0,0,ml,,,1000,0,ml,2.5,2.5,L,5/31/2024,DR: 25151 SI:22906,2.5,0,L,2.5,L
Xylol,,,,,,,,,,,,,,,,,,,,0,ml,0,0,ml,,,100,900,ml,,0,ml,0,ml,,,200,700,ml,0,0,ml,,,0,700,ml,0,0,ml,,,0,700,ml,0,ml 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALS (SOLID REAGENTS),BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF APRIL 2024,UOM,,,,,,,,,,
Acacia powder,1800,g,0,1800,770,1030,g,0,1030,130,900,g,850,g,,,,,850,0,g,500,500,g,2/6/23,900,0,500,g,,1000,g,1000,g,9/20/2023,DR: 2643,300,1200,,,,,,,,,,,,,,,,,,,
Acetaminophen,0,g,0,0,0,0,g,0,0,0,0,g,20,g,,,,,20,0,g,1500,0,g,,,0,0,g,undelivered,1000,g,0,g,,,100,700,,,,,,,,,,,,,,,,,,,
Acetanilide,1900,g,0,1900,0,1900,g,0,1900,1400,500,g,500,g,,,,,100,400,g,0,,,,,100,300,g,,500,g,500,g,10/9/2023,DR: 2721,300,500,,,,,,,,,,,,,,,,,,,
Activated charcoal,1500,g,0,1500,300,1200,g,0,1200,0,1200,g,300,g,,,,,0,300,g,0,,,,,0,300,g,,0,g,0,g,,,0,300,,,,,,,,,,,,,,,,,,,
